species,recording,distance_mm,gain,sigma_s,kernel_delay_s,kernel_r2,attenuation,broadening,cv
Sensitive Mimosa,BYB_Recording_2024-06-27_17.25.17,14.8,0.2426813135368525,0.2,1.26,0.899587706176486,0.231,0.98,11.256
Sensitive Mimosa,BYB_Recording_2024-06-27_17.42.19,15.9,0.44106675429386777,0.2,1.46,0.895673941966682,0.455,0.889,11.18
Sensitive Mimosa,BYB_Recording_2024-06-27_18.31.29,13.9,0.17181380911743185,0.0,1.3,0.7319151271419915,0.194,0.896,10.725
Sensitive Mimosa,BYB_Recording_2024-06-27_18.48.14,9.5,0.051941826976188335,0.1,0.06,0.30349968514142267,0.07,1.767,33.101
Sensitive Mimosa,BYB_Recording_2024-06-27_19.01.26,15.3,3.455294105563693,0.0,0.98,0.8110755703967056,3.529,0.91,15.536
Sensitive Mimosa,BYB_Recording_2024-06-27_19.15.52,14.1,6.202713809715401,0.2,0.72,0.9144903736453656,4.607,1.429,22.268
Sensitive Mimosa,BYB_Recording_2024-06-27_19.57.29,15.5,4.36376438828472,0.0,0.44,0.9358869346737156,4.549,0.926,32.319
Sensitive Mimosa,BYB_Recording_2024-07-08_16.06.58,15.9,1.263348507680828,0.30000000000000004,0.0,0.7135847139690592,0.825,2.097,
Sensitive Mimosa,BYB_Recording_2024-07-08_17.02.56,15.23,1.4988115828020852,0.2,1.96,0.9427354767669768,1.318,1.118,7.424
Sensitive Mimosa,BYB_Recording_2024-07-10_12.31.11,15.64,1.173573473128905,0.2,0.11996905839056751,0.36217843038311404,1.952,1.868,
Sensitive Mimosa,BYB_Recording_2024-07-10_12.56.35,14.21,1.3068709022881024,0.1,0.0,0.10671564835636416,2.27,1.819,1.091
