species,recording,distance_mm,a,b,tau,delayed_fraction,r2_active,r2_passive,delay_resolved2,cv_2tap
Mint,BYB_Recording_2024-02-09_22.29.45,22.43,0.8786931880682155,3.6673961231031718,-8.0,0.8067144906482703,0.5245901696187079,-0.08357697003273334,True,2.80375
Mint,BYB_Recording_2024-02-12_19.02.16,35.22,-0.004471011653782648,0.12940569739609128,7.699999999999665,0.966603513893391,0.20924564889809572,0.03802244873001426,True,4.574025974026172
Mint,BYB_Recording_2024-02-12_20.19.02,30.82,0.1284618432254436,0.19134602970438624,7.999999999999659,0.598315569755752,0.23677544656581007,0.0072074257927782215,True,3.8525000000001643
Mint,BYB_Recording_2024-02-20_19.07.45,30.92,-5.377422962814964e-05,-0.06978957881530483,4.699999999999729,0.9992300737681714,0.0262237198603974,-0.014686344740198365,True,6.578723404255698
Mint,BYB_Recording_2024-02-20_19.11.24,42.25,1.3005757839072065,-1.4396886726531526,-1.3200000000001424,0.5253831137379645,-0.356846664758095,-0.46402169586401887,True,32.007575757572305
Mint,BYB_Recording_2024-02-20_19.19.15,9.54,0.03757083569488971,0.6404979640888251,0.9399999999998094,0.9445914106254796,0.6837497525836576,0.6958276041798211,True,10.148936170214823
Mint,BYB_Recording_2024-02-20_19.22.59,14.08,-0.003919799483440154,0.43549036057708623,2.3799999999997787,0.9910794063503214,0.803626810942915,0.8359448406701404,True,5.915966386555172
Mint,BYB_Recording_2024-02-20_19.26.22,11.56,-0.029782686381624113,0.2744577745212913,1.759999999999792,0.9021080684231282,0.6960715039854174,0.7466437328301139,True,6.568181818182595
Mint,BYB_Recording_2024-02-20_19.32.55,16.83,-0.018193835101407808,0.2040524508895317,3.679999999999751,0.9181366067815885,0.49646469324440623,0.7075427085971518,True,4.573369565217701
Mint,BYB_Recording_2024-02-20_19.38.46,19.74,0.02022481898159292,0.2032356095381485,7.399999999999672,0.9094926152448232,0.33272806753437556,0.32365121094353677,True,2.6675675675676858
Ornamental Chile,BYB_Recording_2024-02-07_19.42.39,11.93,0.014718315247714919,0.1981910711669191,2.1599999999997834,0.9308705196348108,0.782549752774554,0.7915742210406951,True,5.523148148148702
Ornamental Chile,BYB_Recording_2024-02-07_19.48.46,16.53,0.1316348216636407,0.9107071324586623,4.439999999999735,0.8737124403915193,0.5846760896324236,0.3584808610895531,True,3.7229729729731957
Ornamental Chile,BYB_Recording_2024-02-12_19.32.29,27.19,0.31278504891937803,0.50136387178094,5.899999999999704,0.6158134697883954,0.6493951542438332,0.42878912690998616,True,4.608474576271418
Ornamental Chile,BYB_Recording_2024-02-19_18.55.40,20.27,0.07944673038076482,0.23166233930229202,2.079999999999785,0.7446338338457912,0.6732125890208545,0.6886995103944041,True,9.745192307693314
Ornamental Chile,BYB_Recording_2024-02-19_18.58.46,24.14,-0.003646703558053665,0.01363923758341896,7.999999999999659,0.7890364471215019,-0.07492729670043308,-0.08654539299486164,True,3.017500000000129
Ornamental Chile,BYB_Recording_2024-02-19_19.03.24,19.25,0.025718815597666558,0.33808646673188225,1.4199999999997992,0.9293060962914512,0.8362174121397439,0.8337201901157812,True,13.55633802817093
Ornamental Chile,BYB_Recording_2024-02-19_19.07.47,17.7,0.08547100608743702,0.1675760542383984,-1.4600000000001394,0.6622327642242495,0.18350393583658764,0.012566943363390148,True,12.123287671231719
Ornamental Chile,BYB_Recording_2024-02-19_19.10.37,26.95,0.0024350673513503594,0.06263698130084455,7.01999999999968,0.9625789044330598,0.5699408204296476,0.12476659954495717,True,3.839031339031514
Ornamental Chile,BYB_Recording_2024-02-19_19.17.58,18.5,-0.009373665286543216,0.08864710003940865,4.479999999999734,0.9043706172322504,-0.15778292261303295,-0.34983358518425245,True,4.129464285714531
Ornamental Chile,BYB_Recording_2024-02-22_17.57.13,26.03,-0.04355713092320388,0.46747610224979697,4.459999999999734,0.9147665394425367,0.9180571949824834,0.41149403506681426,True,5.836322869955505
Ornamental Chile,BYB_Recording_2024-02-22_18.00.13,19.54,-0.018905575387589153,0.20772302689997035,3.3199999999997587,0.9165790407885026,0.779142357714209,0.5924440215051886,True,5.885542168675126
Ornamental Chile,BYB_Recording_2024-02-23_19.53.15,21.54,-0.3922008786295282,0.4311110623619401,-3.360000000000099,0.5236302802104112,0.19629342267795724,0.1555352150803988,True,6.410714285714096
Ornamental Chile,BYB_Recording_2024-02-23_19.55.48,24.41,-0.04335272961182402,0.10240691782923042,7.999999999999659,0.7025738579029154,0.38144687802819843,-0.08825091311521205,True,3.05125000000013
Ornamental Chile,BYB_Recording_2024-02-23_19.59.02,14.12,-0.026047630233319453,0.13867453436653243,1.759999999999792,0.8418693058302436,0.6979320207738677,0.5707065392958697,True,8.02272727272822
Ornamental Chile,BYB_Recording_2024-02-23_20.04.22,23.63,0.05756644920379632,0.10376189804578839,7.999999999999659,0.6431721381566158,-0.14008572937226926,-0.033065693697489795,True,2.953750000000126
Rosemary,BYB_Recording_2024-02-15_21.13.19,11.72,-0.09948702662529992,3.067916851276232,4.599999999999731,0.968590356500033,0.6972289938826731,0.49254175641286824,True,2.5478260869566705
Rosemary,BYB_Recording_2024-02-15_21.20.04,26.7,-0.036082383056209436,-0.07429743502799756,5.839999999999705,0.6731070617575872,0.1901670885784047,0.04539750360357531,True,4.571917808219409
Rosemary,BYB_Recording_2024-02-15_21.27.05,7.96,1.4142220017031428,4.133156207942364,-2.660000000000114,0.7450647948892031,0.4200929517902041,-0.0025376892305304377,True,2.9924812030073906
Rosemary,BYB_Recording_2024-02-19_19.56.50,16.01,0.15925722505675302,0.9803840777843903,3.819999999999748,0.86025671001944,0.8935104085409289,0.6775077056342291,True,4.191099476440067
Rosemary,BYB_Recording_2024-02-23_19.35.51,13.19,-0.10723938885075981,0.4115379875046893,0.5599999999998175,0.7932843764233796,0.40803867594069876,0.33713992997663655,True,23.5535714285791
Rosemary,BYB_Recording_2024-02-26_18.50.08,9.44,0.37771183132050545,-0.1384023681970826,5.239999999999718,0.2681622949464426,0.21819043466773347,0.17700255724030334,False,
