species,recording,base_r,event_r,r0,rpk,r0_over_rpk,lagpk
Ornamental Chile,BYB_Recording_2024-02-22_17.57.13,0.43816458404532044,-0.057739897800308755,-0.05773989780030872,0.9510923063850403,-0.06070903677033141,4.451
Ornamental Chile,BYB_Recording_2024-02-22_18.00.13,0.9019335050065259,0.22634766251943533,0.22634766251943544,0.8890218780441597,0.2546030284624697,3.2924
Ornamental Chile,BYB_Recording_2024-02-23_19.53.15,-0.4476733752766665,-0.2833745321514603,-0.2833745321514603,0.4109969082007696,-0.6894809340342616,-2.3544
Ornamental Chile,BYB_Recording_2024-02-23_19.55.48,0.25079503150683535,-0.3948494175485742,-0.3948494175485744,0.5999504685197505,-0.658136693388674,9.5668
Ornamental Chile,BYB_Recording_2024-02-23_19.59.02,-0.6410906497257474,-0.05144916789742944,-0.05144916789742934,0.8780851731917785,-0.05859245716496408,1.774
Ornamental Chile,BYB_Recording_2024-02-23_20.04.22,0.9831505771844139,0.051994623895565056,0.05199462389556505,0.42645214814937304,0.12192370028196677,13.9158
Rosemary,BYB_Recording_2024-02-15_21.13.19,0.9614748232391369,0.17058074161869655,0.17058074161869663,0.7955314395174833,0.21442363324089317,-4.5188
Rosemary,BYB_Recording_2024-02-15_21.20.04,0.7600597946004551,-0.18550349362671234,-0.18550349362671228,0.7713321750957378,-0.240497543880738,9.8044
Rosemary,BYB_Recording_2024-02-15_21.27.05,0.44855958912415217,0.26821918690741575,0.26821918690741575,0.577453334033954,0.4644863421840501,2.3646
Rosemary,BYB_Recording_2024-02-19_19.56.50,0.9361544933491012,0.023289769284979302,0.023289769284979302,0.9048326102263261,0.02573931246703611,3.7746
Rosemary,BYB_Recording_2024-02-23_19.35.51,-0.22087574949118782,0.5292972700887234,0.5292972700887233,0.6418669278438023,0.824621501947094,0.6716
Rosemary,BYB_Recording_2024-02-26_18.50.08,0.7267780447678981,0.7727301227382553,0.7727301227382551,0.7773527792659297,0.994053335048162,0.0542
