species,recording,norm,r2_active,r2_passive,sigma,gain_active,gain_passive,tau,bic_active,bic_passive,passive_gap,winner
Creeping Inchplant,BYB_Recording_2024-02-28_18.46.50,raw,0.13644238001482512,0.14021864336831236,0.05,1.0,1.0,3.654,46086.248160780095,46075.35866117508,0.0037762633534872414,passive
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,norm,0.08669178526128296,0.17266305717769792,0.9203389830508475,0.13924805400040263,0.7711020295558594,2.3771999999999998,-19836.505311384077,-20171.50092287317,0.08597127191641496,passive
Creeping Inchplant,BYB_Recording_2024-02-28_18.55.01,raw,-146.8161458090856,0.04102692771143468,2.3262711864406778,1.0,1.0,2.3771999999999998,31302.446102614304,28761.012255101745,146.85717273679705,passive
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,norm,0.145153175878603,0.20574100771601322,0.4516949152542373,0.44957875243635903,0.8709806378970014,0.7644,-12378.627272849773,-12638.453209313926,0.06058783183741023,passive
Creeping Inchplant,BYB_Recording_2024-02-29_17.41.48,raw,-28.25067121914448,0.1281928129364326,2.0584745762711862,1.0,1.0,0.7644,38928.18466528106,35910.81110204173,28.378864032080912,passive
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,norm,0.4025592614622181,0.4025592614622181,0.0,0.4320689034853268,0.4320689034853268,0.0,-20790.312698080335,-20781.92493043636,0.0,active
Creeping Inchplant,BYB_Recording_2024-03-04_20.35.25,raw,-2.716960324003907,0.0826174078365014,1.790677966101695,1.0,1.0,0.0,38700.06792826014,35286.845838099114,2.7995777318404085,passive
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,norm,0.2687177413560706,0.39208001995760655,0.652542372881356,0.41737350329729056,1.0850844848728372,0.0,-22453.665748905823,-23158.01296183961,0.12336227860153592,passive
Creeping Inchplant,BYB_Recording_2024-03-04_20.43.03,raw,-1.8419121170345423,0.3794830379256787,0.8533898305084746,1.0,1.0,0.0,42638.55294758986,38134.70147954199,2.221395154960221,passive
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,norm,0.646817461328073,0.7114059131455293,0.3847457627118644,0.8194388279906754,1.039478192065451,0.7812,-11405.134062470004,-11955.43777308827,0.0645884518174562,passive
Creeping Inchplant,BYB_Recording_2024-03-04_20.50.21,raw,-7.446750697018549,0.36869690691738954,1.3889830508474577,1.0,1.0,0.7812,24438.882253024072,21260.975373330984,7.815447603935938,passive
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,norm,0.37998857347689863,0.40091168212274697,0.18389830508474575,0.6371341294898332,0.7206341283640947,3.9312,-14920.349917928123,-15037.481896217121,0.020923108645848343,passive
Creeping Inchplant,BYB_Recording_2024-03-06_21.56.45,raw,-136.27080645925724,0.006125266588394962,3.5313559322033896,1.0,1.0,3.9312,33700.32536447726,31157.24160113854,136.27693172584563,passive
Creeping Inchplant,BYB_Recording_2024-03-06_21.59.50,norm,0.1483445306746125,0.23390080215241393,0.5855932203389831,0.1760264571084349,0.45156667961976454,0.6467999999999999,-20896.802573086923,-21277.45580240993,0.08555627147780143,passive
